                                                                                                                                                                                                                                      
{'loss': 1.4181, 'grad_norm': inf, 'learning_rate': 2e-05, 'num_tokens': 5142.0, 'mean_token_accuracy': 0.6873541623353958, 'epoch': 0.0}
{'loss': 1.0948, 'grad_norm': 10.29288101196289, 'learning_rate': 2e-05, 'num_tokens': 10652.0, 'mean_token_accuracy': 0.7084962427616119, 'epoch': 0.0}
{'loss': 1.1396, 'grad_norm': 13.835741996765137, 'learning_rate': 1.996389891696751e-05, 'num_tokens': 16191.0, 'mean_token_accuracy': 0.7206521034240723, 'epoch': 0.01}
{'loss': 1.0616, 'grad_norm': 14.454803466796875, 'learning_rate': 1.992779783393502e-05, 'num_tokens': 19642.0, 'mean_token_accuracy': 0.7543540000915527, 'epoch': 0.01}
{'loss': 1.0756, 'grad_norm': 11.092063903808594, 'learning_rate': 1.9891696750902528e-05, 'num_tokens': 25289.0, 'mean_token_accuracy': 0.7121465355157852, 'epoch': 0.01}
{'loss': 1.2212, 'grad_norm': 8.996801376342773, 'learning_rate': 1.985559566787004e-05, 'num_tokens': 32275.0, 'mean_token_accuracy': 0.7049144059419632, 'epoch': 0.01}
{'loss': 1.1039, 'grad_norm': 7.7332916259765625, 'learning_rate': 1.9819494584837547e-05, 'num_tokens': 37363.0, 'mean_token_accuracy': 0.7261829078197479, 'epoch': 0.01}
{'loss': 1.039, 'grad_norm': 9.484197616577148, 'learning_rate': 1.9783393501805054e-05, 'num_tokens': 41841.0, 'mean_token_accuracy': 0.7300966829061508, 'epoch': 0.01}
{'loss': 1.2625, 'grad_norm': 8.879499435424805, 'learning_rate': 1.9747292418772565e-05, 'num_tokens': 47836.0, 'mean_token_accuracy': 0.673747643828392, 'epoch': 0.02}
{'loss': 1.0854, 'grad_norm': 7.6000471115112305, 'learning_rate': 1.9711191335740073e-05, 'num_tokens': 56127.0, 'mean_token_accuracy': 0.7172228544950485, 'epoch': 0.02}
{'loss': 1.2752, 'grad_norm': 6.805788040161133, 'learning_rate': 1.9675090252707584e-05, 'num_tokens': 60215.0, 'mean_token_accuracy': 0.6782582253217697, 'epoch': 0.02}
{'loss': 0.9337, 'grad_norm': 6.923563480377197, 'learning_rate': 1.963898916967509e-05, 'num_tokens': 65545.0, 'mean_token_accuracy': 0.7124849855899811, 'epoch': 0.02}
{'loss': 0.7805, 'grad_norm': 6.53944730758667, 'learning_rate': 1.9602888086642603e-05, 'num_tokens': 69482.0, 'mean_token_accuracy': 0.8037155121564865, 'epoch': 0.02}
{'loss': 1.0068, 'grad_norm': 6.973007678985596, 'learning_rate': 1.956678700361011e-05, 'num_tokens': 73170.0, 'mean_token_accuracy': 0.7448394298553467, 'epoch': 0.03}
{'loss': 1.1891, 'grad_norm': 6.461432933807373, 'learning_rate': 1.9530685920577618e-05, 'num_tokens': 78937.0, 'mean_token_accuracy': 0.6857000142335892, 'epoch': 0.03}
{'loss': 0.8811, 'grad_norm': 5.672856330871582, 'learning_rate': 1.949458483754513e-05, 'num_tokens': 85076.0, 'mean_token_accuracy': 0.7515635341405869, 'epoch': 0.03}
{'loss': 0.7477, 'grad_norm': 5.388767719268799, 'learning_rate': 1.9458483754512636e-05, 'num_tokens': 91531.0, 'mean_token_accuracy': 0.7852718234062195, 'epoch': 0.03}
{'loss': 1.0002, 'grad_norm': 8.149487495422363, 'learning_rate': 1.9422382671480147e-05, 'num_tokens': 96836.0, 'mean_token_accuracy': 0.7332215905189514, 'epoch': 0.03}
{'loss': 0.84, 'grad_norm': 6.313193321228027, 'learning_rate': 1.9386281588447655e-05, 'num_tokens': 101020.0, 'mean_token_accuracy': 0.7666716575622559, 'epoch': 0.03}
{'loss': 0.9503, 'grad_norm': 6.601253032684326, 'learning_rate': 1.9350180505415163e-05, 'num_tokens': 105986.0, 'mean_token_accuracy': 0.716582864522934, 'epoch': 0.04}
{'loss': 1.3218, 'grad_norm': 6.98614501953125, 'learning_rate': 1.9314079422382674e-05, 'num_tokens': 114931.0, 'mean_token_accuracy': 0.6996917873620987, 'epoch': 0.04}
{'loss': 1.1535, 'grad_norm': 6.026744842529297, 'learning_rate': 1.927797833935018e-05, 'num_tokens': 120491.0, 'mean_token_accuracy': 0.7043611705303192, 'epoch': 0.04}
{'loss': 0.8828, 'grad_norm': 5.472194671630859, 'learning_rate': 1.9241877256317692e-05, 'num_tokens': 125125.0, 'mean_token_accuracy': 0.7627133727073669, 'epoch': 0.04}
{'loss': 0.9736, 'grad_norm': 4.695216178894043, 'learning_rate': 1.92057761732852e-05, 'num_tokens': 131828.0, 'mean_token_accuracy': 0.7399539053440094, 'epoch': 0.04}
{'loss': 1.2273, 'grad_norm': 7.7008056640625, 'learning_rate': 1.9169675090252708e-05, 'num_tokens': 136572.0, 'mean_token_accuracy': 0.7166414707899094, 'epoch': 0.05}
{'loss': 0.9848, 'grad_norm': 6.964637279510498, 'learning_rate': 1.913357400722022e-05, 'num_tokens': 141534.0, 'mean_token_accuracy': 0.7340198159217834, 'epoch': 0.05}
