                                                                                                                                                                                                                                      
{'loss': 1.4181, 'grad_norm': inf, 'learning_rate': 2e-05, 'num_tokens': 5142.0, 'mean_token_accuracy': 0.6873541623353958, 'epoch': 0.0}
{'loss': 1.0948, 'grad_norm': 10.652688980102539, 'learning_rate': 2e-05, 'num_tokens': 10652.0, 'mean_token_accuracy': 0.7084962427616119, 'epoch': 0.0}
{'loss': 1.1364, 'grad_norm': 13.70202922821045, 'learning_rate': 1.999638989169675e-05, 'num_tokens': 16191.0, 'mean_token_accuracy': 0.7183825671672821, 'epoch': 0.01}
{'loss': 1.0568, 'grad_norm': 14.838586807250977, 'learning_rate': 1.9992779783393504e-05, 'num_tokens': 19642.0, 'mean_token_accuracy': 0.7544091045856476, 'epoch': 0.01}
{'loss': 1.0703, 'grad_norm': 10.905702590942383, 'learning_rate': 1.9989169675090253e-05, 'num_tokens': 25289.0, 'mean_token_accuracy': 0.7112507224082947, 'epoch': 0.01}
{'loss': 1.2181, 'grad_norm': 8.452836990356445, 'learning_rate': 1.9985559566787006e-05, 'num_tokens': 32275.0, 'mean_token_accuracy': 0.7076229751110077, 'epoch': 0.01}
{'loss': 1.1027, 'grad_norm': 8.090167999267578, 'learning_rate': 1.9981949458483755e-05, 'num_tokens': 37363.0, 'mean_token_accuracy': 0.7261829078197479, 'epoch': 0.01}
{'loss': 1.0342, 'grad_norm': 8.440238952636719, 'learning_rate': 1.9978339350180508e-05, 'num_tokens': 41841.0, 'mean_token_accuracy': 0.7284950613975525, 'epoch': 0.01}
{'loss': 1.2587, 'grad_norm': 7.42581033706665, 'learning_rate': 1.9974729241877258e-05, 'num_tokens': 47836.0, 'mean_token_accuracy': 0.6755082160234451, 'epoch': 0.02}
{'loss': 1.0817, 'grad_norm': 6.927011966705322, 'learning_rate': 1.9971119133574007e-05, 'num_tokens': 56127.0, 'mean_token_accuracy': 0.7126119583845139, 'epoch': 0.02}
{'loss': 1.2717, 'grad_norm': 7.060628890991211, 'learning_rate': 1.996750902527076e-05, 'num_tokens': 60215.0, 'mean_token_accuracy': 0.6780168265104294, 'epoch': 0.02}
{'loss': 0.9301, 'grad_norm': 6.587908744812012, 'learning_rate': 1.996389891696751e-05, 'num_tokens': 65545.0, 'mean_token_accuracy': 0.7105108350515366, 'epoch': 0.02}
{'loss': 0.7789, 'grad_norm': 7.4141740798950195, 'learning_rate': 1.9960288808664262e-05, 'num_tokens': 69482.0, 'mean_token_accuracy': 0.8085218369960785, 'epoch': 0.02}
{'loss': 1.0036, 'grad_norm': 7.057843208312988, 'learning_rate': 1.995667870036101e-05, 'num_tokens': 73170.0, 'mean_token_accuracy': 0.7396770268678665, 'epoch': 0.03}
{'loss': 1.1874, 'grad_norm': 6.359853744506836, 'learning_rate': 1.9953068592057764e-05, 'num_tokens': 78937.0, 'mean_token_accuracy': 0.6843789517879486, 'epoch': 0.03}
{'loss': 0.8776, 'grad_norm': 5.520787239074707, 'learning_rate': 1.9949458483754514e-05, 'num_tokens': 85076.0, 'mean_token_accuracy': 0.7487731277942657, 'epoch': 0.03}
{'loss': 0.748, 'grad_norm': 5.416748046875, 'learning_rate': 1.9945848375451263e-05, 'num_tokens': 91531.0, 'mean_token_accuracy': 0.7807051241397858, 'epoch': 0.03}
{'loss': 0.9949, 'grad_norm': 7.7294602394104, 'learning_rate': 1.9942238267148016e-05, 'num_tokens': 96836.0, 'mean_token_accuracy': 0.7317079454660416, 'epoch': 0.03}
{'loss': 0.8379, 'grad_norm': 6.49462366104126, 'learning_rate': 1.9938628158844765e-05, 'num_tokens': 101020.0, 'mean_token_accuracy': 0.7625143676996231, 'epoch': 0.03}
{'loss': 0.9483, 'grad_norm': 7.324313640594482, 'learning_rate': 1.9935018050541518e-05, 'num_tokens': 105986.0, 'mean_token_accuracy': 0.7182270288467407, 'epoch': 0.04}
{'loss': 1.3222, 'grad_norm': 7.364090442657471, 'learning_rate': 1.9931407942238267e-05, 'num_tokens': 114931.0, 'mean_token_accuracy': 0.6987113952636719, 'epoch': 0.04}
{'loss': 1.1519, 'grad_norm': 6.1188530921936035, 'learning_rate': 1.992779783393502e-05, 'num_tokens': 120491.0, 'mean_token_accuracy': 0.7065433859825134, 'epoch': 0.04}
{'loss': 0.8851, 'grad_norm': 5.772711753845215, 'learning_rate': 1.992418772563177e-05, 'num_tokens': 125125.0, 'mean_token_accuracy': 0.7627867758274078, 'epoch': 0.04}
{'loss': 0.972, 'grad_norm': 4.931689262390137, 'learning_rate': 1.9920577617328522e-05, 'num_tokens': 131828.0, 'mean_token_accuracy': 0.7388181537389755, 'epoch': 0.04}
