                                                                                                                                                                                                                                                     
{'loss': 1.5303, 'grad_norm': 11.621227264404297, 'learning_rate': 2e-05, 'num_tokens': 5131.0, 'mean_token_accuracy': 0.6745900064706802, 'epoch': 0.0}
{'loss': 1.8779, 'grad_norm': 13.905621528625488, 'learning_rate': 1.9997979797979802e-05, 'num_tokens': 7968.0, 'mean_token_accuracy': 0.4371441900730133, 'epoch': 0.0}
{'loss': 1.3431, 'grad_norm': 8.303065299987793, 'learning_rate': 1.99959595959596e-05, 'num_tokens': 16334.0, 'mean_token_accuracy': 0.3333169221878052, 'epoch': 0.0}
{'loss': 1.5344, 'grad_norm': 7.236033916473389, 'learning_rate': 1.9993939393939396e-05, 'num_tokens': 25382.0, 'mean_token_accuracy': 0.4971266984939575, 'epoch': 0.0}
{'loss': 1.3103, 'grad_norm': inf, 'learning_rate': 1.9991919191919193e-05, 'num_tokens': 28518.0, 'mean_token_accuracy': 0.167852520942688, 'epoch': 0.0}
{'loss': 1.8524, 'grad_norm': 12.251662254333496, 'learning_rate': 1.9991919191919193e-05, 'num_tokens': 31765.0, 'mean_token_accuracy': 0.31209179759025574, 'epoch': 0.0}
{'loss': 1.9179, 'grad_norm': 14.115102767944336, 'learning_rate': 1.9989898989898994e-05, 'num_tokens': 33980.0, 'mean_token_accuracy': 0.1403743326663971, 'epoch': 0.0}
{'loss': 1.5671, 'grad_norm': 6.805666923522949, 'learning_rate': 1.998787878787879e-05, 'num_tokens': 37855.0, 'mean_token_accuracy': 0.46978871524333954, 'epoch': 0.0}
{'loss': 1.5622, 'grad_norm': 6.87667989730835, 'learning_rate': 1.9985858585858588e-05, 'num_tokens': 41570.0, 'mean_token_accuracy': 0.4548078328371048, 'epoch': 0.0}
{'loss': 1.7829, 'grad_norm': 10.621737480163574, 'learning_rate': 1.9983838383838385e-05, 'num_tokens': 46996.0, 'mean_token_accuracy': 0.15075033903121948, 'epoch': 0.0}
{'loss': 1.6047, 'grad_norm': 5.003325939178467, 'learning_rate': 1.9981818181818185e-05, 'num_tokens': 54515.0, 'mean_token_accuracy': 0.6153026819229126, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9979797979797982e-05, 'num_tokens': 57041.0, 'mean_token_accuracy': 0.0, 'epoch': 0.0}
{'loss': 1.5976, 'grad_norm': 6.239215850830078, 'learning_rate': 1.997777777777778e-05, 'num_tokens': 61840.0, 'mean_token_accuracy': 0.46883735060691833, 'epoch': 0.01}
{'loss': 1.3956, 'grad_norm': 6.97481107711792, 'learning_rate': 1.9975757575757576e-05, 'num_tokens': 65555.0, 'mean_token_accuracy': 0.32612185180187225, 'epoch': 0.01}
