                                                                                                                                                                                                                                                     
{'loss': 1.9836, 'grad_norm': 16.52513313293457, 'learning_rate': 2e-05, 'num_tokens': 4718.0, 'mean_token_accuracy': 0.46013160049915314, 'epoch': 0.0}
{'loss': 1.9356, 'grad_norm': 11.946158409118652, 'learning_rate': 1.9998e-05, 'num_tokens': 9827.0, 'mean_token_accuracy': 0.44992372393608093, 'epoch': 0.0}
{'loss': 1.9856, 'grad_norm': 10.500115394592285, 'learning_rate': 1.9996000000000003e-05, 'num_tokens': 21349.0, 'mean_token_accuracy': 0.4282176345586777, 'epoch': 0.0}
{'loss': 1.429, 'grad_norm': 11.050789833068848, 'learning_rate': 1.9994000000000002e-05, 'num_tokens': 23984.0, 'mean_token_accuracy': 0.1666666716337204, 'epoch': 0.0}
{'loss': 1.9613, 'grad_norm': 9.206830978393555, 'learning_rate': 1.9992e-05, 'num_tokens': 27898.0, 'mean_token_accuracy': 0.2810814529657364, 'epoch': 0.0}
{'loss': 1.5707, 'grad_norm': 7.872959136962891, 'learning_rate': 1.9990000000000003e-05, 'num_tokens': 31876.0, 'mean_token_accuracy': 0.3272109776735306, 'epoch': 0.0}
{'loss': 1.5919, 'grad_norm': 9.662490844726562, 'learning_rate': 1.9988000000000002e-05, 'num_tokens': 34324.0, 'mean_token_accuracy': 0.15515807271003723, 'epoch': 0.0}
{'loss': 2.0043, 'grad_norm': inf, 'learning_rate': 1.9986e-05, 'num_tokens': 37939.0, 'mean_token_accuracy': 0.13405796885490417, 'epoch': 0.0}
{'loss': 0.963, 'grad_norm': 5.5431318283081055, 'learning_rate': 1.9986e-05, 'num_tokens': 40896.0, 'mean_token_accuracy': 0.19301994144916534, 'epoch': 0.0}
{'loss': 1.7549, 'grad_norm': 11.413618087768555, 'learning_rate': 1.9984e-05, 'num_tokens': 44231.0, 'mean_token_accuracy': 0.29339395463466644, 'epoch': 0.0}
{'loss': 1.2112, 'grad_norm': 4.251517295837402, 'learning_rate': 1.9982000000000003e-05, 'num_tokens': 49091.0, 'mean_token_accuracy': 0.3426695168018341, 'epoch': 0.0}
